id	ini	fn	pt	漢字_程序改名	ipa调类	IPA_程序改名	注釋_程序改名	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	ɔ	184
682	t	i	451	帝	ti451	ti5	皇～	2						
683	tʰ	ɔi	33	梯	tʰɔi33	tʰɔi1	楼～	2						
684	t	i	451	蒂	ti451	ti5	花～，并～莲	6						
685	tʰ	i	31	體	tʰi31	tʰi3	～育，身～	5						
686	tʰ	ɛ	451	替	tʰɛ451	tʰɛ5	代～，～身	5						
687	tʰ	i	451	涕	tʰi451	tʰi5	～泪纵横	4						
688	tʰ	ɛ	451	剃	tʰɛ451	tʰɛ5	～头	2						
689	tʰ	ɛ	451	屜	tʰɛ451	tʰɛ5	抽～	2						
690	tʰ	i	213	題	tʰi213	tʰi2	～目，难～	5						
691	tʰ	i	25	提	tʰi25	tʰi9	～问，～醒	5						
692	tʰ	ɛ	213	蹄	tʰɛ213	tʰɛ2	马～	2						
693	tʰ	ɛ	25	啼	tʰɛ25	tʰɛ9	哭哭～～[文]	7						
694	tʰ	ɛ	213	啼	tʰɛ213	tʰɛ2	鸡～[白]	5						
695	tʰ	i	31	弟	tʰi31	tʰi3	兄～[文]	5						
696	tʰ	i	31	弟	tʰi31	tʰi3	弟弟，老～[白]	8						
697	tʰ	i	31	第	tʰi31	tʰi3	～一，门～	5						
698	tʰ	i	451	遞	tʰi451	tʰi5	传～，邮～员	6						
700	l	ɛ	25	犁	lɛ25	lɛ9	耕田用具	4						
701	l	ɛ	213	黎	lɛ213	lɛ2	～民，～明；姓	7						
702	l	i	33	禮	li33	li1	～貌	2						
703	l	ɛ	31	麗	lɛ31	lɛ3	秀～	2						
704	tʰ	i	451	隸	tʰi451	tʰi5	奴～，～属	5						
705	ts	ɛ	33	擠	tsɛ33	tsɛ1	拥～，～时间	6						
706	ts	i	451	濟	tsi451	tsi5	～公，经～	5						
707	tsʰ	i	33	妻	tsʰi33	tsʰi1	夫～	2						
708	tsʰ	ɛ	451	砌	tsʰɛ451	tsʰɛ5	～墙	2						
709	tsʰ	ɛ	25	齊	tsʰɛ25	tsʰɛ9	～国[文]	5						
710	tsʰ	ɛ	213	齊	tsʰɛ213	tsʰɛ2	整～，放～，来～[白]	11						
711	tsʰ	i	25	臍	tsʰi25	tsʰi9	肚～，～带	5						
712	ts	ɛ	33	劑	tsɛ33	tsɛ1	一～药，药～	6						
713	ɬ	i	33	西	ɬi33	ɬi1	东西南北	4						
714	tsʰ	ai	33	棲	tsʰai33	tsʰai1	两～动物	4						
715	ɬ	ɛ	33	犀	ɬɛ33	ɬɛ1	～牛	2						
716	ɬ	ɛ	31	洗	ɬɛ31	ɬɛ3	～菜，～衣机	6						
717	ɬ	ɛ	451	細	ɬɛ451	ɬɛ5	粗细，大小	5						
718	ɬ	ɛ	451	婿	ɬɛ451	ɬɛ5	女～	2						
719	k	ɛ	33	雞	kɛ33	kɛ1	～公（公鸡）	6						
720	kʰ	ɛ	33	稽	kʰɛ33	kʰɛ1	～查，滑～	5						
721	k	ɛ	451	計	kɛ451	kɛ5	～算，会～	5						
722	k	ɛ	451	繼	kɛ451	kɛ5	～续，～承	5						
723	h	ɛ	451	繫	hɛ451	hɛ5	～皮带	3						
724	k	i	451	髻	ki451	ki5	发髻；鸡～（鸡冠）	9						
725	kʰ	ɛ	33	溪	kʰɛ33	kʰɛ1	～水	2						
726	kʰ	ɛ	31	啟	kʰɛ31	kʰɛ3	～发	2						
727	kʰ	ɛ	451	契	kʰɛ451	kʰɛ5	房～，～约	5						
728		i	25	倪	i25	ji9	姓，～萍	4						
729	kʰ	ɛ	33	奚	kʰɛ33	kʰɛ1	～落	2						
731				系	hɛ451	hɛ451	中文～，～统	6						
732	h	ɛ	451	繫	hɛ451	hɛ5	联～	2						
733	h	ɛ	451	係	hɛ451	hɛ5	关～[文]	5						
734	h	ɛ	31	係	hɛ31	hɛ3	是[白]	4						
735	p	ɐi	33	杯	pɐi33	pɐi1	茶～	2						
736	p	ɐi	451	輩	pɐi451	pɐi5	～分，长～	5						
739	pʰ	ɔi	33	坯	pʰɔi33	pʰɔi1	泥～，毛～房	6						
740	pʰ	ɐi	451	配	pʰɐi451	pʰɐi5	分～，搭～	5						
741	pʰ	ɔi	213	培	pʰɔi213	pʰɔi2	～训	2						
742	pʰ	ɔi	213	陪	pʰɔi213	pʰɔi2	～同	2						
743	pʰ	ɔi	213	賠	pʰɔi213	pʰɔi2	～钱	2						
744	pʰ	ɔi	213	裴	pʰɔi213	pʰɔi2	姓	1						
745	pʰ	ɔi	25	倍	pʰɔi25	pʰɔi9	～数	2						
746	p	ɐi	451	佩	pɐi451	pɐi5	～服	2						
747	p	ɔi	451	背	pɔi451	pɔi5	～书	2						
748	pʰ	ɔi	31	焙	pʰɔi31	pʰɔi3	～火	2						
749	m	ɔi	25	梅	mɔi25	mɔi9	～花	2						
750	m	ɔi	213	枚	mɔi213	mɔi2	两～	2						
751	m	ɔi	213	媒	mɔi213	mɔi2	～人	2						
752	m	ɔi	25	煤	mɔi25	mɔi9	烧～，～矿	5						
753	v	ɐi	25	玫	vɐi25	vɐi9	～瑰	2						
754	m	ɐi	33	每	mɐi33	mɐi1	～只，～日	5						
755	m	ɔi	25	莓	mɔi25	mɔi9	草～	2						
756	m	ɔi	451	妹	mɔi451	mɔi5	妹妹，姊～，老～	8						
757	m	ɐi	31	昧	mɐi31	mɐi3	愚～，拾金不～	7						
758	t	ɔi	33	堆	tɔi33	tɔi1	一～[量]，～放[动]	11						
759	t	ui	451	對	tui451	tui5	～错；成双成～	7						
760	t	ɔi	451	碓	tɔi451	tɔi5	舂米工具，踏～	7						
761	tʰ	ɐi	33	推	tʰɐi33	tʰɐi1	～荐，～动	5						
762	tʰ	ɐi	31	腿	tʰɐi31	tʰɐi3	～部，火～	5						
763	tʰ	ui	451	退	tʰui451	tʰui5	后～，～步[文]	8						
764	tʰ	ui	451	退	tʰui451	tʰui5	向后退[白]	6						
765	tʰ	ui	31	隊	tʰui31	tʰui3	～伍，排～	5						
766	n	ui	31	內	nui31	nui3	～行，～外	5						
767	l	ui	213	雷	lui213	lui2	打～，～公；姓	7						
768	l	ui	31	累	lui31	lui3	劳～	2						
769	tsʰ	ui	33	催	tsʰui33	tsʰui1	～促，～眠	5						
