#漢字	音標	解釋	繁簡
鑽	tʃɵn5	～洞	簡
鑽	tʃɵn5	电～	簡
轉	tʃɵn5	～圆圈	簡
傳	tʃɵn9b	自～	簡
傳	tʃʰɵn2	～达	簡
竄	tʃʰɵn3		簡
閂	ʃɵn1		簡
痠	ʃɵn1		簡
孫	ʃɵn1		簡
鏇	ʃɵn2		簡
選	ʃɵn3		簡
損	ʃɵn3		簡
羨	ʃɵn5	又	簡
淵	jɵn1		簡
園	jɵn2		簡
圓	jɵn2		簡
員	jɵn2		簡
緣	jɵn2		簡
鉛	jɵn2		簡
轅	jɵn2		簡
軟	jɵn4		簡
遠	jɵn4		簡
願	jɵn5		簡
縣	jɵn5		簡
絹	kɵn1		簡
捲	kɵn3	～起	簡
捲	kɵn3	试～	簡
鍵	kɵn5		簡
權	kʰɵn2		簡
顴	kʰɵn2		簡
懸	hɵn2		簡
勸	hɵn5		簡
邊	pin1		簡
貶	pin3		簡
變	pin5		簡
辯	pin5		簡
辮	pin9a		簡
編	pʰin1		簡
騙	pʰin5		簡
綿	min2		簡
緬	min3		簡
輓	min4		簡
麪	min5	脸	簡
麪	min5	～条	簡
顚	tin1		簡
癲	tin1		簡
點	tin3		簡
牴	tin5		簡
電	tin5		簡
墊	tin5	坐～	簡
塡	tʰin2		簡
攆	nin3		簡
唸	nin5		簡
鐮	lin2		簡
連	lin2		簡
憐	lin2		簡
蓮	lin2		簡
簾	lin2		簡
斂	lin4		簡
殮	lin4		簡
練	lin5		簡
鏈	lin9b		簡
佔	tʃin1	～卜	簡
霑	tʃin1		簡
氈	tʃin1		簡
漸	tʃin5		簡
佔	tʃin5	～有	簡
戰	tʃin5		簡
濺	tʃin5		簡
踐	tʃin5		簡
賤	tʃin5		簡
餞	tʃin5		簡
薦	tʃin5		簡
韆	tʃʰin1		簡
殲	tʃʰin1		簡
遷	tʃʰin1		簡
籤	tʃʰin1	～名	簡
簽	tʃʰin1	～名	簡
籤	tʃʰin1	牙～	簡
簽	tʃʰin1	牙～	簡
潛	tʃʰin2		簡
錢	tʃʰin2		簡
纏	tʃʰin2		簡
淺	tʃʰin3		簡
鮮	ʃin1	新～	簡
鮮	ʃin1	朝～	簡
蟬	ʃin2		簡
禪	ʃin2	～宗	簡
陝	ʃin3		簡
閃	ʃin3		簡
癬	ʃin3		簡
鱔	ʃin4		簡
線	ʃin5		簡
單	ʃin5	姓氏	簡
羨	ʃin5	又	簡
煙	jin1		簡
菸	jin1		簡
閹	jin1		簡
鹽	jin2	食～	簡
閻	jin2		簡
嚴	jin2		簡
硏	jin2		簡
賢	jin2		簡
絃	jin2		簡
驗	jin5		簡
厭	jin5		簡
豔	jin5		簡
諺	jin5		簡
硯	jin5		簡
嚥	jin5		簡
堅	kin1		簡
檢	kin3		簡
見	kin5		簡
儉	kin5		簡
劍	kin5		簡
鉗	kʰin2		簡
牽	hin1		簡
謙	hin1		簡
軒	hin1		簡
險	hin3		簡
顯	hin3		簡
莧	hin5		簡
憲	hin5		簡
獻	hin5		簡
現	hin5		簡
絆	pun5		簡
盤	pʰun2		簡
瞞	mun2		簡
門	mun2		簡
滿	mun4		簡
悶	mun5		簡
寬	fun1		簡
歡	fun1		簡
韓	fun2		簡
漢	fun5		簡
煥	fun5		簡
喚	wun5		簡
換	wun5		簡
翫	wun5		簡
幹	kʷun1	天～地支	簡
乾	kʷun1	天～地支	簡
幹	kʷun1	～湿	簡
乾	kʷun1	～湿	簡
觀	kʷun1	参～	簡
觀	kʷun1	道～	簡
趕	kʷun3		簡
館	kʷun3		簡
桿	kʷun3		簡
桿	kʷun3		簡
幹	kʷun5	～部	簡
乾	kʷun5	～部	簡
貫	kʷun5		簡
擔	taŋ1	～当	簡
膽	taŋ3		簡
擔	taŋ5	挑～	簡
貪	tʰaŋ1		簡
譚	tʰaŋ2		簡
談	tʰaŋ2		簡
邁	naŋ4		簡
藍	laŋ2		簡
籃	laŋ2		簡
攬	laŋ4		簡
摟	laŋ4		簡
覽	laŋ5		簡
纜	laŋ5		簡
濫	laŋ5		簡
艦	laŋ5		簡
欖	laŋ9b		簡
斬	tʃaŋ3		簡
暫	tʃaŋ5		簡
參	tʃʰaŋ1	～加	簡
蔘	tʃʰaŋ1	～加	簡
蠶	tʃʰaŋ2		簡
慚	tʃʰaŋ2		簡
讒	tʃʰaŋ2	～言	簡
讒	tʃʰaŋ2	嘴～	簡
慘	tʃʰaŋ3		簡
監	kaŋ1	坐～	簡
尷	kaŋ1		簡
減	kaŋ3		簡
鑑	kaŋ5		簡
監	kaŋ5	国子～	簡
菴	ŋaŋ1		簡
巖	ŋaŋ2		簡
闇	ŋaŋ5		簡
鹹	haŋ2	～丰	簡
鹹	haŋ2	～鱼	簡
銜	haŋ2		簡
頒	pɛŋ1		簡
闆	pɛŋ3		簡
辦	pɛŋ5		簡
繃	pʰɛŋ2		簡
蠻	mɛŋ2		簡
鰨	mɛŋ5		簡
萬	mɛŋ5		簡
煩	fɛŋ2		簡
磯	fɛŋ2		簡
範	fɛŋ5		簡
衛	fɛŋ5		簡
範	fɛŋ5	姓氏	簡
飯	fɛŋ5		簡
氾	fɛŋ5		簡
汎	fɛŋ5		簡
販	fɛŋ9b		簡
彎	wɛŋ1		簡
灣	wɛŋ1		簡
還	wɛŋ2	～有	簡
還	wɛŋ2	～原	簡
環	wɛŋ2		簡
橫	wɛŋ2	～直	簡
輓	wɛŋ4		簡
單	tɛŋ1	～独	簡
誕	tɛŋ5		簡
彈	tɛŋ9a	子～	簡
灘	tʰɛŋ1		簡
攤	tʰɛŋ1		簡
癱	tʰɛŋ1		簡
彈	tʰɛŋ2	～琴	簡
壇	tʰɛŋ2		簡
罈	tʰɛŋ2		簡
嘆	tʰɛŋ5		簡
難	nɛŋ2	困～	簡
難	nɛŋ5	患～	簡
蘭	lɛŋ2		簡
攔	lɛŋ2		簡
欄	lɛŋ2		簡
懶	lɛŋ3		簡
爛	lɛŋ5		簡
爭	tʃɛŋ1		簡
箏	tʃɛŋ1		簡
睜	tʃɛŋ1		簡
盞	tʃɛŋ3		簡
棧	tʃɛŋ3		簡
贊	tʃɛŋ5		簡
賺	tʃɛŋ5		簡
殘	tʃʰɛŋ2		簡
產	tʃʰɛŋ3		簡
鏟	tʃʰɛŋ3		簡
燦	tʃʰɛŋ5		簡
撐	tʃʰɛŋ5		簡
頂	tʃʰɛŋ5		簡
刪	ʃɛŋ1		簡
傘	ʃɛŋ5		簡
艱	kɛŋ1		簡
間	kɛŋ1	中～	簡
姦	kɛŋ1		簡
鹼	kɛŋ3		簡
簡	kɛŋ3		簡
揀	kɛŋ3		簡
繭	kɛŋ3		簡
間	kɛŋ5	～断	簡
澗	kɛŋ5		簡
顏	ŋɛŋ2		簡
頑	ŋɛŋ2		簡
閒	hɛŋ2		簡
閑	hɛŋ2		簡
關	kʷɛŋ1		簡
慣	kʷɛŋ5		簡
餠	pœŋ3		簡
甁	pʰœŋ9a	白	簡
釘	tœŋ1	～书机	簡
釘	tœŋ1	铁～	簡
頂	tœŋ3	白	簡
聽	tʰœŋ1	～见	簡
廳	tʰœŋ9a		簡
孃	nœŋ2		簡
涼	lœŋ2		簡
糧	lœŋ2		簡
樑	lœŋ2		簡
兩	lœŋ3	斤～	簡
輛	lœŋ3		簡
兩	lœŋ4	～个	簡
領	lœŋ4	白	簡
嶺	lœŋ4	白	簡
諒	lœŋ5		簡
靚	lœŋ5		簡
將	tʃœŋ1	～来，～军	簡
張	tʃœŋ1		簡
漿	tʃœŋ1		簡
獎	tʃœŋ3		簡
