#漢字	音標	解釋
飢	ki1	～饿
肌	ki1	～肉
几	ki1	茶～
冀	ki5	河北简称，晋察～
器	hi5	武～，机～，～重
棄	hi5	放～，抛～
祁	kʰi2	～连山
伊	ji1	～犁；姓
懿	ji5	人名用字，司马～
夷	ji2	化险为～，蛮～
姨	ji2	大～，～丈
肄	ɬi5	～业
你	ni1	～们，第二人称[文]
你	ȵi2	第二人称[白]
釐	li2	～米
狸	li2	狐～
李	li3	姓；水果
里	li1	公～
裏	li3	～外，～背（里面）
理	li1	道～，～由
鯉	li1	～鱼
吏	ɬə3	官～
滋	kʰə2	～味
子	kə3	～孙；孔～
梓	kə3	桑～；曾宪～
慈	kʰə2	～悲，～禧太后
磁	kʰə2	～铁，～场
字	ɬə3	～典，文～
司	ɬə1	公～，～令
絲	ɬi1	～绸
思	ɬə1	～想
伺	ɬə1	～候，～机而动
思	ɬə1	意～
辭	kʰə2	～职，告～
詞	kʰə2	歌～
祠	kʰə2	～堂
似	kʰə5	相～，～乎[文]
似	kʰə5	好～（好像）[白]
祀	ɬə3	祭～
巳	ɬə5	地支，～时
寺	ɬə5	～庙，灵光～
嗣	kʰə2	后～；谭～同
飼	kʰə2	～料，～养[文]
飼	kʰə2	喂饭[白]
置	tsi5	布～
癡	tsi1	白～，～呆
恥	tsʰi3	～辱
持	tsʰi2	支～
痔	tsi5	～疮
治	tsʰi3	～安，统～[文]
廁	tsʰɐt7	～所，公～
士	ɬə3	～兵
仕	ɬə3	～途
柿	si5	柿子，～饼
事	ɬə3	～实，～情[文]
事	ɬə3	做～[白]
