#漢字	音標	解釋
戲	hi5	做～
倚	ji3	～靠，～老卖老
椅	ji3	椅子，藤～
移	ji2	～动
易	ji3	容～
悲	pi1a	～伤
鄙	pi1a	卑～，～视[文]
鄙	pi1a	差劲[白]
比	pi3	～较，对～
祕	pi5	～书，～密
泌	pi5	分～；滤出汤汁
庇	pi5	包～，～护
痹	pi5	麻～
丕	pʰi1a	人名用字，曹～
屁	pʰi5	放～
琵	pʰi5	～琶
枇	pʰi2	～杷
備	pʰi3	准～，～用
鼻	pʰi3	鼻子；鼻涕
篦	kɛ5	篦子（很密的梳子）
眉	mi2	眉毛，画～
楣	mi2	门～
黴	mɔi2	发～，倒～
美	mi1a	～丽，～化
媚	mi2	～眼，妩～；人名用字
寐	mei3	梦～以求，假～
地	tʰi3	土～
尼	nɛ2	～姑
膩	nɛ3	油～，细～
梨	li2	梨
履	ly1a	～行，～历
利	li1a	～润，有～
痢	li1a	～疾
痢	li1a	癞～（头屑）
資	tia1a	～本
姿	ʦi1a	～势
咨	ʦi1a	～询
姊	ʦia3	～妹
次	ʦʰi5	名～，～品
瓷	ʦʰi5	～砖，陶～
餈	si2	糍粑，糯米～
自	ʦʰia3	～私
私	sia1a	自～
死	ɬi3	～人
四	ɬi5	数字
肆	ɬi5	放～
致	ʦi5	导～
遲	ʦʰi2	～到，推～
稚	ʦi5	幼～
師	sa1a	老～，～父
獅	sa1a	狮子
脂	ʦi1a	～肪，胭～
旨	ʦi3	圣～
指	ʦi3	手～，～甲
至	ʦi5	～少
示	si5	表～
屍	si1a	～体，死～
屎	si3	狗～
視	si5	近～
二	ȵi5	数字
貳	ȵi5	～心
飢	ki1a	～饿
肌	ki1a	～肉
几	ki1a	茶～
冀	kʰɛ5	河北简称，晋察～
器	hi5	武～，机～，～重
棄	hi5	放～，抛～
祁	kʰi2	～连山
伊	ji1a	～犁；姓
夷	ji2	化险为～，蛮～
姨	ji2	大～，～丈
肄	hi5	～业
你	ȵi2	～们，第二人称[文]
你	ȵi2	第二人称[白]
釐	li2	～米
狸	li2	狐～
李	li3	姓；水果
里	li1a	公～
裏	ly3	～外，～背（里面）
理	li1a	道～，～由
鯉	li1a	～鱼
吏	sia3	官～
滋	ʦi1a	～味
子	ʦia3	～孙；孔～
梓	ʦi3	桑～；曾宪～
