#漢字	音標	解釋
□	hɔn2	饭～（饭粒）
惶	kʰɔŋ2	害怕
跔	pɐi1b	蹲；腿蜷曲
癐	kʰɔi3	累，疲乏
窿	loŋ1b	穿～（破洞）
洞	tʰoŋ3	涵～（涵洞）
菜	ʦʰɔi5	菜肴
轆	lok7	轮子
丟	tiu1a	丢，扔
呃	ŋɐt7	欺骗
跟	kɐn1a	找，寻找；挣（钱）
烊	jioŋ2	融化
奀	ŋian1b	瘦小
諗	nɐn3	思考
梘	kan3	肥皂
慳	han1a	节俭
踎	pɐi1b	蹲
孖	lɔn1a	双
乸	ma2	雌性
嘢	ȵa1a	东西
咪	mɐi1b	麦克风
攞	lɔ1a	拿，取
煲	pɔ1a	煲
蠔	hɔ2	海蛎
睇	tʰɛ3	看
冚	kʰɐp7	盖住
和	vɔ2	～气[文]
岔	ʦʰa1b	三～路口
姐	ʦi3	姐姐2[白]
塊	fai5	一～
